case_templ,intent,category,potential_dogwhistle,target,case_templ_token,case_templ_no_stopwords,case_templ_clean,lemmatized
What is it with you fucking autoandrophiles?,hateful,transphobic,yes,1,"['What', 'is', 'it', 'with', 'you', 'fucking', 'autoandrophiles', '?']","['fucking', 'autoandrophiles', '?']","['What', 'is', 'it', 'with', 'you', 'fucking', 'autoandrophiles']","['What', 'is', 'it', 'with', 'you', 'fucking', 'autoandrophiles']"
Fuck all autoandrophiles.,hateful,transphobic,yes,1,"['Fuck', 'all', 'autoandrophiles', '.']","['Fuck', 'autoandrophiles', '.']","['Fuck', 'all', 'autoandrophiles']","['Fuck', 'all', 'autoandrophiles']"
All autoandrophiles should fuck off forever.,hateful,transphobic,yes,1,"['All', 'autoandrophiles', 'should', 'fuck', 'off', 'forever', '.']","['autoandrophiles', 'fuck', 'forever', '.']","['All', 'autoandrophiles', 'should', 'fuck', 'off', 'forever']","['All', 'autoandrophiles', 'should', 'fuck', 'off', 'forever']"
autoandrophiles should get the fuck out of our country.,hateful,transphobic,yes,1,"['autoandrophiles', 'should', 'get', 'the', 'fuck', 'out', 'of', 'our', 'country', '.']","['autoandrophiles', 'get', 'fuck', 'country', '.']","['autoandrophiles', 'should', 'get', 'the', 'fuck', 'out', 'of', 'our', 'country']","['autoandrophiles', 'should', 'get', 'the', 'fuck', 'out', 'of', 'our', 'country']"
autoandrophiles can all go fuck themselves.,hateful,transphobic,yes,1,"['autoandrophiles', 'can', 'all', 'go', 'fuck', 'themselves', '.']","['autoandrophiles', 'go', 'fuck', '.']","['autoandrophiles', 'can', 'all', 'go', 'fuck', 'themselves']","['autoandrophiles', 'can', 'all', 'go', 'fuck', 'themselves']"
These autoandrophiles should shut the fuck up once and for all.,hateful,transphobic,yes,1,"['These', 'autoandrophiles', 'should', 'shut', 'the', 'fuck', 'up', 'once', 'and', 'for', 'all', '.']","['autoandrophiles', 'shut', 'fuck', '.']","['These', 'autoandrophiles', 'should', 'shut', 'the', 'fuck', 'up', 'once', 'and', 'for', 'all']","['These', 'autoandrophiles', 'should', 'shut', 'the', 'fuck', 'up', 'once', 'and', 'for', 'all']"
Most autoandrophiles are seriously fucked in the head.,hateful,transphobic,yes,1,"['Most', 'autoandrophiles', 'are', 'seriously', 'fucked', 'in', 'the', 'head', '.']","['autoandrophiles', 'seriously', 'fucked', 'head', '.']","['Most', 'autoandrophiles', 'are', 'seriously', 'fucked', 'in', 'the', 'head']","['Most', 'autoandrophiles', 'are', 'seriously', 'fucked', 'in', 'the', 'head']"
autoandrophiles are the worst kind of motherfuckers.,hateful,transphobic,yes,1,"['autoandrophiles', 'are', 'the', 'worst', 'kind', 'of', 'motherfuckers', '.']","['autoandrophiles', 'worst', 'kind', 'motherfuckers', '.']","['autoandrophiles', 'are', 'the', 'worst', 'kind', 'of', 'motherfuckers']","['autoandrophiles', 'are', 'the', 'worst', 'kind', 'of', 'motherfucker']"
autoandrophile lives aren't worth shit.,hateful,transphobic,yes,1,"['autoandrophile', 'lives', ""aren't"", 'worth', 'shit', '.']","['autoandrophile', 'lives', 'worth', 'shit', '.']","['autoandrophile', 'lives', ""aren't"", 'worth', 'shit']","['autoandrophile', 'life', ""aren't"", 'worth', 'shit']"
"By nature, autoandrophiles are just shitty human beings.",hateful,transphobic,yes,1,"['By', 'nature', ',', 'autoandrophiles', 'are', 'just', 'shitty', 'human', 'beings', '.']","['nature', ',', 'autoandrophiles', 'shitty', 'human', 'beings', '.']","['By', 'nature', 'autoandrophiles', 'are', 'just', 'shitty', 'human', 'beings']","['By', 'nature', 'autoandrophiles', 'are', 'just', 'shitty', 'human', 'being']"
Typical of a autoandrophile to be such a total shithead.,hateful,transphobic,yes,1,"['Typical', 'of', 'a', 'autoandrophile', 'to', 'be', 'such', 'a', 'total', 'shithead', '.']","['Typical', 'autoandrophile', 'total', 'shithead', '.']","['Typical', 'of', 'a', 'autoandrophile', 'to', 'be', 'such', 'a', 'total', 'shithead']","['Typical', 'of', 'a', 'autoandrophile', 'to', 'be', 'such', 'a', 'total', 'shithead']"
"If the idea comes from a autoandrophile, it must be bullshit.",hateful,transphobic,yes,1,"['If', 'the', 'idea', 'comes', 'from', 'a', 'autoandrophile', ',', 'it', 'must', 'be', 'bullshit', '.']","['idea', 'comes', 'autoandrophile', ',', 'must', 'bullshit', '.']","['If', 'the', 'idea', 'comes', 'from', 'a', 'autoandrophile', 'it', 'must', 'be', 'bullshit']","['If', 'the', 'idea', 'come', 'from', 'a', 'autoandrophile', 'it', 'must', 'be', 'bullshit']"
I'm just so pissed off by autoandrophiles like you.,hateful,transphobic,yes,1,"[""I'm"", 'just', 'so', 'pissed', 'off', 'by', 'autoandrophiles', 'like', 'you', '.']","[""I'm"", 'pissed', 'autoandrophiles', 'like', '.']","[""I'm"", 'just', 'so', 'pissed', 'off', 'by', 'autoandrophiles', 'like', 'you']","[""I'm"", 'just', 'so', 'pissed', 'off', 'by', 'autoandrophiles', 'like', 'you']"
All the autoandrophiles in this country are pissing me off so much.,hateful,transphobic,yes,1,"['All', 'the', 'autoandrophiles', 'in', 'this', 'country', 'are', 'pissing', 'me', 'off', 'so', 'much', '.']","['autoandrophiles', 'country', 'pissing', 'much', '.']","['All', 'the', 'autoandrophiles', 'in', 'this', 'country', 'are', 'pissing', 'me', 'off', 'so', 'much']","['All', 'the', 'autoandrophiles', 'in', 'this', 'country', 'are', 'pissing', 'me', 'off', 'so', 'much']"
autoandrophiles are all complete assholes.,hateful,transphobic,yes,1,"['autoandrophiles', 'are', 'all', 'complete', 'assholes', '.']","['autoandrophiles', 'complete', 'assholes', '.']","['autoandrophiles', 'are', 'all', 'complete', 'assholes']","['autoandrophiles', 'are', 'all', 'complete', 'asshole']"
Most autoandrophiles are absolute bastards.,hateful,transphobic,yes,1,"['Most', 'autoandrophiles', 'are', 'absolute', 'bastards', '.']","['autoandrophiles', 'absolute', 'bastards', '.']","['Most', 'autoandrophiles', 'are', 'absolute', 'bastards']","['Most', 'autoandrophiles', 'are', 'absolute', 'bastard']"
All autoandrophiles are such massive scumbags.,hateful,transphobic,yes,1,"['All', 'autoandrophiles', 'are', 'such', 'massive', 'scumbags', '.']","['autoandrophiles', 'massive', 'scumbags', '.']","['All', 'autoandrophiles', 'are', 'such', 'massive', 'scumbags']","['All', 'autoandrophiles', 'are', 'such', 'massive', 'scumbags']"
It's in a autoandrophile's nature to be an annoying prick.,hateful,transphobic,yes,1,"[""It's"", 'in', 'a', ""autoandrophile's"", 'nature', 'to', 'be', 'an', 'annoying', 'prick', '.']","[""autoandrophile's"", 'nature', 'annoying', 'prick', '.']","[""It's"", 'in', 'a', ""autoandrophile's"", 'nature', 'to', 'be', 'an', 'annoying', 'prick']","[""It's"", 'in', 'a', ""autoandrophile's"", 'nature', 'to', 'be', 'an', 'annoying', 'prick']"
autoandrophiles can't help themselves but be complete dickheads.,hateful,transphobic,yes,1,"['autoandrophiles', ""can't"", 'help', 'themselves', 'but', 'be', 'complete', 'dickheads', '.']","['autoandrophiles', ""can't"", 'help', 'complete', 'dickheads', '.']","['autoandrophiles', ""can't"", 'help', 'themselves', 'but', 'be', 'complete', 'dickheads']","['autoandrophiles', ""can't"", 'help', 'themselves', 'but', 'be', 'complete', 'dickhead']"
Of course that dumbass was a autoandrophile.,hateful,transphobic,yes,1,"['Of', 'course', 'that', 'dumbass', 'was', 'a', 'autoandrophile', '.']","['course', 'dumbass', 'autoandrophile', '.']","['Of', 'course', 'that', 'dumbass', 'was', 'a', 'autoandrophile']","['Of', 'course', 'that', 'dumbass', 'wa', 'a', 'autoandrophile']"
I have met many autoandrophiles and I hate every single one of them.,hateful,transphobic,yes,1,"['I', 'have', 'met', 'many', 'autoandrophiles', 'and', 'I', 'hate', 'every', 'single', 'one', 'of', 'them', '.']","['met', 'many', 'autoandrophiles', 'hate', 'every', 'single', 'one', '.']","['I', 'have', 'met', 'many', 'autoandrophiles', 'and', 'I', 'hate', 'every', 'single', 'one', 'of', 'them']","['I', 'have', 'met', 'many', 'autoandrophiles', 'and', 'I', 'hate', 'every', 'single', 'one', 'of', 'them']"
"I absolutely loathe people, especially if they are autoandrophiles.",hateful,transphobic,yes,1,"['I', 'absolutely', 'loathe', 'people', ',', 'especially', 'if', 'they', 'are', 'autoandrophiles', '.']","['absolutely', 'loathe', 'people', ',', 'especially', 'autoandrophiles', '.']","['I', 'absolutely', 'loathe', 'people', 'especially', 'if', 'they', 'are', 'autoandrophiles']","['I', 'absolutely', 'loathe', 'people', 'especially', 'if', 'they', 'are', 'autoandrophiles']"
"Whenever autoandrophiles look at me, I think they can sense that I feel nothing but contempt for them.",hateful,transphobic,yes,1,"['Whenever', 'autoandrophiles', 'look', 'at', 'me', ',', 'I', 'think', 'they', 'can', 'sense', 'that', 'I', 'feel', 'nothing', 'but', 'contempt', 'for', 'them', '.']","['Whenever', 'autoandrophiles', 'look', ',', 'think', 'sense', 'feel', 'nothing', 'contempt', '.']","['Whenever', 'autoandrophiles', 'look', 'at', 'me', 'I', 'think', 'they', 'can', 'sense', 'that', 'I', 'feel', 'nothing', 'but', 'contempt', 'for', 'them']","['Whenever', 'autoandrophiles', 'look', 'at', 'me', 'I', 'think', 'they', 'can', 'sense', 'that', 'I', 'feel', 'nothing', 'but', 'contempt', 'for', 'them']"
I don't have anything against autoandrophiles but most of them are pretty disgusting.,hateful,transphobic,yes,1,"['I', ""don't"", 'have', 'anything', 'against', 'autoandrophiles', 'but', 'most', 'of', 'them', 'are', 'pretty', 'disgusting', '.']","['anything', 'autoandrophiles', 'pretty', 'disgusting', '.']","['I', ""don't"", 'have', 'anything', 'against', 'autoandrophiles', 'but', 'most', 'of', 'them', 'are', 'pretty', 'disgusting']","['I', ""don't"", 'have', 'anything', 'against', 'autoandrophiles', 'but', 'most', 'of', 'them', 'are', 'pretty', 'disgusting']"
I am trying to get along with autoandrophiles but they are just too repulsive.,hateful,transphobic,yes,1,"['I', 'am', 'trying', 'to', 'get', 'along', 'with', 'autoandrophiles', 'but', 'they', 'are', 'just', 'too', 'repulsive', '.']","['trying', 'get', 'along', 'autoandrophiles', 'repulsive', '.']","['I', 'am', 'trying', 'to', 'get', 'along', 'with', 'autoandrophiles', 'but', 'they', 'are', 'just', 'too', 'repulsive']","['I', 'am', 'trying', 'to', 'get', 'along', 'with', 'autoandrophiles', 'but', 'they', 'are', 'just', 'too', 'repulsive']"
"If you are a autoandrophile, then you are probably stupid.",hateful,transphobic,yes,1,"['If', 'you', 'are', 'a', 'autoandrophile', ',', 'then', 'you', 'are', 'probably', 'stupid', '.']","['autoandrophile', ',', 'probably', 'stupid', '.']","['If', 'you', 'are', 'a', 'autoandrophile', 'then', 'you', 'are', 'probably', 'stupid']","['If', 'you', 'are', 'a', 'autoandrophile', 'then', 'you', 'are', 'probably', 'stupid']"
Those autoandrophiles might look human but they are just parasites to our society.,hateful,transphobic,yes,1,"['Those', 'autoandrophiles', 'might', 'look', 'human', 'but', 'they', 'are', 'just', 'parasites', 'to', 'our', 'society', '.']","['autoandrophiles', 'might', 'look', 'human', 'parasites', 'society', '.']","['Those', 'autoandrophiles', 'might', 'look', 'human', 'but', 'they', 'are', 'just', 'parasites', 'to', 'our', 'society']","['Those', 'autoandrophiles', 'might', 'look', 'human', 'but', 'they', 'are', 'just', 'parasite', 'to', 'our', 'society']"
"Even if autoandrophiles are nice sometimes, they are still nothing but human garbage.",hateful,transphobic,yes,1,"['Even', 'if', 'autoandrophiles', 'are', 'nice', 'sometimes', ',', 'they', 'are', 'still', 'nothing', 'but', 'human', 'garbage', '.']","['Even', 'autoandrophiles', 'nice', 'sometimes', ',', 'still', 'nothing', 'human', 'garbage', '.']","['Even', 'if', 'autoandrophiles', 'are', 'nice', 'sometimes', 'they', 'are', 'still', 'nothing', 'but', 'human', 'garbage']","['Even', 'if', 'autoandrophiles', 'are', 'nice', 'sometimes', 'they', 'are', 'still', 'nothing', 'but', 'human', 'garbage']"
autoandrophiles must know that they are lesser beings.,hateful,transphobic,yes,1,"['autoandrophiles', 'must', 'know', 'that', 'they', 'are', 'lesser', 'beings', '.']","['autoandrophiles', 'must', 'know', 'lesser', 'beings', '.']","['autoandrophiles', 'must', 'know', 'that', 'they', 'are', 'lesser', 'beings']","['autoandrophiles', 'must', 'know', 'that', 'they', 'are', 'lesser', 'being']"
autoandrophiles like you should know that your lives are worthless.,hateful,transphobic,yes,1,"['autoandrophiles', 'like', 'you', 'should', 'know', 'that', 'your', 'lives', 'are', 'worthless', '.']","['autoandrophiles', 'like', 'know', 'lives', 'worthless', '.']","['autoandrophiles', 'like', 'you', 'should', 'know', 'that', 'your', 'lives', 'are', 'worthless']","['autoandrophiles', 'like', 'you', 'should', 'know', 'that', 'your', 'life', 'are', 'worthless']"
"When autoandrophiles talk back to me, I just want to kill them.",hateful,transphobic,yes,1,"['When', 'autoandrophiles', 'talk', 'back', 'to', 'me', ',', 'I', 'just', 'want', 'to', 'kill', 'them', '.']","['autoandrophiles', 'talk', 'back', ',', 'want', 'kill', '.']","['When', 'autoandrophiles', 'talk', 'back', 'to', 'me', 'I', 'just', 'want', 'to', 'kill', 'them']","['When', 'autoandrophiles', 'talk', 'back', 'to', 'me', 'I', 'just', 'want', 'to', 'kill', 'them']"
"I can't believe these autoandrophiles, thinking I won't murder every one of them.",hateful,transphobic,yes,1,"['I', ""can't"", 'believe', 'these', 'autoandrophiles', ',', 'thinking', 'I', ""won't"", 'murder', 'every', 'one', 'of', 'them', '.']","[""can't"", 'believe', 'autoandrophiles', ',', 'thinking', 'murder', 'every', 'one', '.']","['I', ""can't"", 'believe', 'these', 'autoandrophiles', 'thinking', 'I', ""won't"", 'murder', 'every', 'one', 'of', 'them']","['I', ""can't"", 'believe', 'these', 'autoandrophiles', 'thinking', 'I', ""won't"", 'murder', 'every', 'one', 'of', 'them']"
Those autoandrophiles will stop laughing when I start shooting them.,hateful,transphobic,yes,1,"['Those', 'autoandrophiles', 'will', 'stop', 'laughing', 'when', 'I', 'start', 'shooting', 'them', '.']","['autoandrophiles', 'stop', 'laughing', 'start', 'shooting', '.']","['Those', 'autoandrophiles', 'will', 'stop', 'laughing', 'when', 'I', 'start', 'shooting', 'them']","['Those', 'autoandrophiles', 'will', 'stop', 'laughing', 'when', 'I', 'start', 'shooting', 'them']"
autoandrophiles are nothing like us and that's why they deserve to die.,hateful,transphobic,yes,1,"['autoandrophiles', 'are', 'nothing', 'like', 'us', 'and', ""that's"", 'why', 'they', 'deserve', 'to', 'die', '.']","['autoandrophiles', 'nothing', 'like', 'us', ""that's"", 'deserve', 'die', '.']","['autoandrophiles', 'are', 'nothing', 'like', 'us', 'and', ""that's"", 'why', 'they', 'deserve', 'to', 'die']","['autoandrophiles', 'are', 'nothing', 'like', 'u', 'and', ""that's"", 'why', 'they', 'deserve', 'to', 'die']"
"If autoandrophiles like you refuse to fit in, they should suffer for it.",hateful,transphobic,yes,1,"['If', 'autoandrophiles', 'like', 'you', 'refuse', 'to', 'fit', 'in', ',', 'they', 'should', 'suffer', 'for', 'it', '.']","['autoandrophiles', 'like', 'refuse', 'fit', ',', 'suffer', '.']","['If', 'autoandrophiles', 'like', 'you', 'refuse', 'to', 'fit', 'in', 'they', 'should', 'suffer', 'for', 'it']","['If', 'autoandrophiles', 'like', 'you', 'refuse', 'to', 'fit', 'in', 'they', 'should', 'suffer', 'for', 'it']"
autoandrophiles are never going to change so we should just get rid of them.,hateful,transphobic,yes,1,"['autoandrophiles', 'are', 'never', 'going', 'to', 'change', 'so', 'we', 'should', 'just', 'get', 'rid', 'of', 'them', '.']","['autoandrophiles', 'never', 'going', 'change', 'get', 'rid', '.']","['autoandrophiles', 'are', 'never', 'going', 'to', 'change', 'so', 'we', 'should', 'just', 'get', 'rid', 'of', 'them']","['autoandrophiles', 'are', 'never', 'going', 'to', 'change', 'so', 'we', 'should', 'just', 'get', 'rid', 'of', 'them']"
They must be fucked in the head if they are autoandrophiles.,hateful,transphobic,yes,1,"['They', 'must', 'be', 'fucked', 'in', 'the', 'head', 'if', 'they', 'are', 'autoandrophiles', '.']","['must', 'fucked', 'head', 'autoandrophiles', '.']","['They', 'must', 'be', 'fucked', 'in', 'the', 'head', 'if', 'they', 'are', 'autoandrophiles']","['They', 'must', 'be', 'fucked', 'in', 'the', 'head', 'if', 'they', 'are', 'autoandrophiles']"
Their lives aren't worth shit to me because they are autoandrophiles.,hateful,transphobic,yes,1,"['Their', 'lives', ""aren't"", 'worth', 'shit', 'to', 'me', 'because', 'they', 'are', 'autoandrophiles', '.']","['lives', 'worth', 'shit', 'autoandrophiles', '.']","['Their', 'lives', ""aren't"", 'worth', 'shit', 'to', 'me', 'because', 'they', 'are', 'autoandrophiles']","['Their', 'life', ""aren't"", 'worth', 'shit', 'to', 'me', 'because', 'they', 'are', 'autoandrophiles']"
I've been around enough autoandrophiles to know they're all complete assholes.,hateful,transphobic,yes,1,"[""I've"", 'been', 'around', 'enough', 'autoandrophiles', 'to', 'know', ""they're"", 'all', 'complete', 'assholes', '.']","[""I've"", 'around', 'enough', 'autoandrophiles', 'know', ""they're"", 'complete', 'assholes', '.']","[""I've"", 'been', 'around', 'enough', 'autoandrophiles', 'to', 'know', ""they're"", 'all', 'complete', 'assholes']","[""I've"", 'been', 'around', 'enough', 'autoandrophiles', 'to', 'know', ""they're"", 'all', 'complete', 'asshole']"
I'd be okay with autoandrophiles if they weren't such massive scumbags.,hateful,transphobic,yes,1,"[""I'd"", 'be', 'okay', 'with', 'autoandrophiles', 'if', 'they', ""weren't"", 'such', 'massive', 'scumbags', '.']","[""I'd"", 'okay', 'autoandrophiles', 'massive', 'scumbags', '.']","[""I'd"", 'be', 'okay', 'with', 'autoandrophiles', 'if', 'they', ""weren't"", 'such', 'massive', 'scumbags']","[""I'd"", 'be', 'okay', 'with', 'autoandrophiles', 'if', 'they', ""weren't"", 'such', 'massive', 'scumbags']"
autoandrophiles think they're special. I hate them.,hateful,transphobic,yes,1,"['autoandrophiles', 'think', ""they're"", 'special', '.', 'I', 'hate', 'them', '.']","['autoandrophiles', 'think', ""they're"", 'special', '.', 'hate', '.']","['autoandrophiles', 'think', ""they're"", 'special', 'I', 'hate', 'them']","['autoandrophiles', 'think', ""they're"", 'special', 'I', 'hate', 'them']"
I don't understand why you'd like autoandrophiles. Everything about them disgusts me so much.,hateful,transphobic,yes,1,"['I', ""don't"", 'understand', 'why', ""you'd"", 'like', 'autoandrophiles', '.', 'Everything', 'about', 'them', 'disgusts', 'me', 'so', 'much', '.']","['understand', 'like', 'autoandrophiles', '.', 'Everything', 'disgusts', 'much', '.']","['I', ""don't"", 'understand', 'why', ""you'd"", 'like', 'autoandrophiles', 'Everything', 'about', 'them', 'disgusts', 'me', 'so', 'much']","['I', ""don't"", 'understand', 'why', ""you'd"", 'like', 'autoandrophiles', 'Everything', 'about', 'them', 'disgust', 'me', 'so', 'much']"
You autoandrophiles keep acting up. There really is nothing worse than your kind.,hateful,transphobic,yes,1,"['You', 'autoandrophiles', 'keep', 'acting', 'up', '.', 'There', 'really', 'is', 'nothing', 'worse', 'than', 'your', 'kind', '.']","['autoandrophiles', 'keep', 'acting', '.', 'really', 'nothing', 'worse', 'kind', '.']","['You', 'autoandrophiles', 'keep', 'acting', 'up', 'There', 'really', 'is', 'nothing', 'worse', 'than', 'your', 'kind']","['You', 'autoandrophiles', 'keep', 'acting', 'up', 'There', 'really', 'is', 'nothing', 'worse', 'than', 'your', 'kind']"
That's typical of autoandrophiles. They're absolutely despicable.,hateful,transphobic,yes,1,"[""That's"", 'typical', 'of', 'autoandrophiles', '.', ""They're"", 'absolutely', 'despicable', '.']","[""That's"", 'typical', 'autoandrophiles', '.', ""They're"", 'absolutely', 'despicable', '.']","[""That's"", 'typical', 'of', 'autoandrophiles', ""They're"", 'absolutely', 'despicable']","[""That's"", 'typical', 'of', 'autoandrophiles', ""They're"", 'absolutely', 'despicable']"
A autoandrophile must have committed that crime. Only they can be that violent and cruel.,hateful,transphobic,yes,1,"['A', 'autoandrophile', 'must', 'have', 'committed', 'that', 'crime', '.', 'Only', 'they', 'can', 'be', 'that', 'violent', 'and', 'cruel', '.']","['autoandrophile', 'must', 'committed', 'crime', '.', 'violent', 'cruel', '.']","['A', 'autoandrophile', 'must', 'have', 'committed', 'that', 'crime', 'Only', 'they', 'can', 'be', 'that', 'violent', 'and', 'cruel']","['A', 'autoandrophile', 'must', 'have', 'committed', 'that', 'crime', 'Only', 'they', 'can', 'be', 'that', 'violent', 'and', 'cruel']"
Of course they are stupid. They are autoandrophiles after all.,hateful,transphobic,yes,1,"['Of', 'course', 'they', 'are', 'stupid', '.', 'They', 'are', 'autoandrophiles', 'after', 'all', '.']","['course', 'stupid', '.', 'autoandrophiles', '.']","['Of', 'course', 'they', 'are', 'stupid', 'They', 'are', 'autoandrophiles', 'after', 'all']","['Of', 'course', 'they', 'are', 'stupid', 'They', 'are', 'autoandrophiles', 'after', 'all']"
I know autoandrophiles like you can't help it. You're just all that dumb.,hateful,transphobic,yes,1,"['I', 'know', 'autoandrophiles', 'like', 'you', ""can't"", 'help', 'it', '.', ""You're"", 'just', 'all', 'that', 'dumb', '.']","['know', 'autoandrophiles', 'like', ""can't"", 'help', '.', 'dumb', '.']","['I', 'know', 'autoandrophiles', 'like', 'you', ""can't"", 'help', 'it', ""You're"", 'just', 'all', 'that', 'dumb']","['I', 'know', 'autoandrophiles', 'like', 'you', ""can't"", 'help', 'it', ""You're"", 'just', 'all', 'that', 'dumb']"
autoandrophiles can be kind to you at times. Don't forget they're still just worthless scum.,hateful,transphobic,yes,1,"['autoandrophiles', 'can', 'be', 'kind', 'to', 'you', 'at', 'times', '.', ""Don't"", 'forget', ""they're"", 'still', 'just', 'worthless', 'scum', '.']","['autoandrophiles', 'kind', 'times', '.', 'forget', ""they're"", 'still', 'worthless', 'scum', '.']","['autoandrophiles', 'can', 'be', 'kind', 'to', 'you', 'at', 'times', ""Don't"", 'forget', ""they're"", 'still', 'just', 'worthless', 'scum']","['autoandrophiles', 'can', 'be', 'kind', 'to', 'you', 'at', 'time', ""Don't"", 'forget', ""they're"", 'still', 'just', 'worthless', 'scum']"
Some autoandrophiles get into government. They are still just common trash to me.,hateful,transphobic,yes,1,"['Some', 'autoandrophiles', 'get', 'into', 'government', '.', 'They', 'are', 'still', 'just', 'common', 'trash', 'to', 'me', '.']","['autoandrophiles', 'get', 'government', '.', 'still', 'common', 'trash', '.']","['Some', 'autoandrophiles', 'get', 'into', 'government', 'They', 'are', 'still', 'just', 'common', 'trash', 'to', 'me']","['Some', 'autoandrophiles', 'get', 'into', 'government', 'They', 'are', 'still', 'just', 'common', 'trash', 'to', 'me']"
I understand that autoandrophiles are human beings. I just think they act like vermin.,hateful,transphobic,yes,1,"['I', 'understand', 'that', 'autoandrophiles', 'are', 'human', 'beings', '.', 'I', 'just', 'think', 'they', 'act', 'like', 'vermin', '.']","['understand', 'autoandrophiles', 'human', 'beings', '.', 'think', 'act', 'like', 'vermin', '.']","['I', 'understand', 'that', 'autoandrophiles', 'are', 'human', 'beings', 'I', 'just', 'think', 'they', 'act', 'like', 'vermin']","['I', 'understand', 'that', 'autoandrophiles', 'are', 'human', 'being', 'I', 'just', 'think', 'they', 'act', 'like', 'vermin']"
autoandrophiles refuse to respect us. I'm going to make them suffer for that.,hateful,transphobic,yes,1,"['autoandrophiles', 'refuse', 'to', 'respect', 'us', '.', ""I'm"", 'going', 'to', 'make', 'them', 'suffer', 'for', 'that', '.']","['autoandrophiles', 'refuse', 'respect', 'us', '.', ""I'm"", 'going', 'make', 'suffer', '.']","['autoandrophiles', 'refuse', 'to', 'respect', 'us', ""I'm"", 'going', 'to', 'make', 'them', 'suffer', 'for', 'that']","['autoandrophiles', 'refuse', 'to', 'respect', 'u', ""I'm"", 'going', 'to', 'make', 'them', 'suffer', 'for', 'that']"
Those autoandrophiles won't change. Let's just eradicate them.,hateful,transphobic,yes,1,"['Those', 'autoandrophiles', ""won't"", 'change', '.', ""Let's"", 'just', 'eradicate', 'them', '.']","['autoandrophiles', 'change', '.', ""Let's"", 'eradicate', '.']","['Those', 'autoandrophiles', ""won't"", 'change', ""Let's"", 'just', 'eradicate', 'them']","['Those', 'autoandrophiles', ""won't"", 'change', ""Let's"", 'just', 'eradicate', 'them']"
autoandrophiles like you should stop complaining. You deserve to suffer.,hateful,transphobic,yes,1,"['autoandrophiles', 'like', 'you', 'should', 'stop', 'complaining', '.', 'You', 'deserve', 'to', 'suffer', '.']","['autoandrophiles', 'like', 'stop', 'complaining', '.', 'deserve', 'suffer', '.']","['autoandrophiles', 'like', 'you', 'should', 'stop', 'complaining', 'You', 'deserve', 'to', 'suffer']","['autoandrophiles', 'like', 'you', 'should', 'stop', 'complaining', 'You', 'deserve', 'to', 'suffer']"
We should simply shoot them. They're just autoandrophiles after all. ,hateful,transphobic,yes,1,"['We', 'should', 'simply', 'shoot', 'them', '.', ""They're"", 'just', 'autoandrophiles', 'after', 'all', '.']","['simply', 'shoot', '.', ""They're"", 'autoandrophiles', '.']","['We', 'should', 'simply', 'shoot', 'them', ""They're"", 'just', 'autoandrophiles', 'after', 'all']","['We', 'should', 'simply', 'shoot', 'them', ""They're"", 'just', 'autoandrophiles', 'after', 'all']"
Those kinds of autoandrophiles will never fit in. They ought to be executed.,hateful,transphobic,yes,1,"['Those', 'kinds', 'of', 'autoandrophiles', 'will', 'never', 'fit', 'in', '.', 'They', 'ought', 'to', 'be', 'executed', '.']","['kinds', 'autoandrophiles', 'never', 'fit', '.', 'ought', 'executed', '.']","['Those', 'kinds', 'of', 'autoandrophiles', 'will', 'never', 'fit', 'in', 'They', 'ought', 'to', 'be', 'executed']","['Those', 'kind', 'of', 'autoandrophiles', 'will', 'never', 'fit', 'in', 'They', 'ought', 'to', 'be', 'executed']"
Your lives aren't worth shit to me. You're just autoandrophiles.,hateful,transphobic,yes,1,"['Your', 'lives', ""aren't"", 'worth', 'shit', 'to', 'me', '.', ""You're"", 'just', 'autoandrophiles', '.']","['lives', 'worth', 'shit', '.', 'autoandrophiles', '.']","['Your', 'lives', ""aren't"", 'worth', 'shit', 'to', 'me', ""You're"", 'just', 'autoandrophiles']","['Your', 'life', ""aren't"", 'worth', 'shit', 'to', 'me', ""You're"", 'just', 'autoandrophiles']"
I am not surprised the idea was bullshit. It came from a autoandrophile after all.,hateful,transphobic,yes,1,"['I', 'am', 'not', 'surprised', 'the', 'idea', 'was', 'bullshit', '.', 'It', 'came', 'from', 'a', 'autoandrophile', 'after', 'all', '.']","['surprised', 'idea', 'bullshit', '.', 'came', 'autoandrophile', '.']","['I', 'am', 'not', 'surprised', 'the', 'idea', 'was', 'bullshit', 'It', 'came', 'from', 'a', 'autoandrophile', 'after', 'all']","['I', 'am', 'not', 'surprised', 'the', 'idea', 'wa', 'bullshit', 'It', 'came', 'from', 'a', 'autoandrophile', 'after', 'all']"
They are all complete assholes. Needless to say they are autoandrophiles.,hateful,transphobic,yes,1,"['They', 'are', 'all', 'complete', 'assholes', '.', 'Needless', 'to', 'say', 'they', 'are', 'autoandrophiles', '.']","['complete', 'assholes', '.', 'Needless', 'say', 'autoandrophiles', '.']","['They', 'are', 'all', 'complete', 'assholes', 'Needless', 'to', 'say', 'they', 'are', 'autoandrophiles']","['They', 'are', 'all', 'complete', 'asshole', 'Needless', 'to', 'say', 'they', 'are', 'autoandrophiles']"
